Participant,roi_sequence,experience
12.0,"6,4,4,4,3,2,2,4,2,2",FirstYear
12.0,"4,14,11,12,12,12,12,12,12,12",FirstYear
12.0,"0,11,10,10,15,0,2,10,0,0",FirstYear
12.0,"18,24,20,21,20,0,0,18,0,15",FirstYear
12.0,"12,2,2,2,2,2,2,2,2,2",FirstYear
12.0,"1,1,1,1,2,1,2,1,3,3",FirstYear
12.0,"3,17,8,24,0,25,31,24,26,30",FirstYear
12.0,"29,29,29,25,30,24,24,23,33,0",FirstYear
12.0,"0,12,12,12,12,0,12,11,11,12",FirstYear
12.0,"12,3,3,3,8,8,8,4,4,4",FirstYear
12.0,"4,8,4,5,3,4,3,3,3,3",FirstYear
12.0,"4,4,4,4,4,8,3,3,3,3",FirstYear
12.0,"3,3,3,3,3,1,1,1,1,13",FirstYear
12.0,"15,1,15,13,11,12,11,11,9,10",FirstYear
12.0,"21,10,19,1,1,1,1,1,2,4",FirstYear
12.0,"4,3,3,3,3,5,2,4,4,5",FirstYear
12.0,"4,4,11,11,4,4,4,2,1,3",FirstYear
12.0,"3,3,1,1,1,1,9,9,9,11",FirstYear
12.0,"11,2,2,2,2,3,11,11,11,0",FirstYear
12.0,"12,12,11,19,1,9,9,10,5,7",FirstYear
12.0,"11,12,12,11,11,12,12,12,5,5",FirstYear
12.0,"12,9,9,0,17,17,17,17,17,14",FirstYear
12.0,"14,13,9,14,14,14,13,13,13,14",FirstYear
12.0,"14,15,10,7,15,10,7,5,5,5",FirstYear
12.0,"2,9,5,5,9,9,5,5,6,8",FirstYear
12.0,"9,3,3,3,19,19,19,19,14,8",FirstYear
12.0,"7,2,8,12,12,1,1,1,4,4",FirstYear
12.0,"18,18,18,18,12,18,2,12,18,12",FirstYear
12.0,"2,11,0,1,1,3,3,3,3,6",FirstYear
12.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
12.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
12.0,"3,3,3,1,3,9,3,8,8,8",FirstYear
12.0,"12,11,15,7,7,5,4,4,5,4",FirstYear
12.0,"7,7,7,9,16,19,16,16,7,19",FirstYear
12.0,"18,15,15,9,15,13,13,18,17,13",FirstYear
12.0,"11,11,11,11,11,1,1,2,4,2",FirstYear
12.0,"2,2,2,2,5,5,5,5,5,5",FirstYear
12.0,"7,4,4,5,9,16,7,18,13,13",FirstYear
13.0,"0,18,19,0,0,0,9,0,8,8",ThirdYear
13.0,"9,8,8,7,7,7,0,13,0,13",ThirdYear
13.0,"13,13,17,17,19,0,0,0,30,19",ThirdYear
13.0,"9,12,0,9,9,9,9,9,0,0",ThirdYear
13.0,"9,9,9,0,9,9,9,9,30,29",ThirdYear
13.0,"28,28,21,17,17,5,5,7,7,18",ThirdYear
13.0,"0,23,19,0,18,18,19,18,0,0",ThirdYear
13.0,"19,0,0,0,9,8,9,9,9,9",ThirdYear
13.0,"8,7,7,9,8,0,9,9,9,9",ThirdYear
13.0,"18,0,0,19,9,10,10,9,9,9",ThirdYear
13.0,"9,9,19,0,17,18,19,19,19,7",ThirdYear
13.0,"7,7,7,7,7,4,4,12,2,7",ThirdYear
13.0,"8,8,8,11,9,9,26,9,9,9",ThirdYear
13.0,"9,29,0,9,9,8,8,8,8,8",ThirdYear
13.0,"9,8,8,8,8,8,9,0,9,0",ThirdYear
13.0,"9,9,9,0,0,19,9,9,9,9",ThirdYear
13.0,"9,9,18,23,0,0,23,15,23,23",ThirdYear
13.0,"15,0,17,8,10,11,12,15,0,4",ThirdYear
13.0,"4,4,2,2,3,1,4,4,4,8",ThirdYear
13.0,"8,8,2,4,2,1,8,1,8,17",ThirdYear
13.0,"8,24,24,26,29,24,0,23,23,23",ThirdYear
13.0,"0,0,24,0,18,0,0,2,0,10",ThirdYear
13.0,"10,0,10,10,2,11,12,12,12,0",ThirdYear
13.0,"11,11,0,12,12,0,0,0,0,0",ThirdYear
13.0,"0,10,0,21,21,0,24,2,2,2",ThirdYear
13.0,"2,2,4,9,2,8,8,24,17,10",ThirdYear
13.0,"10,0,4,2,2,2,2,3,3,2",ThirdYear
13.0,"1,0,1,1,1,2,2,2,4,2",ThirdYear
13.0,"3,3,3,3,3,3,3,3,13,12",ThirdYear
13.0,"1,13,12,14,16,16,12,16,19,19",ThirdYear
13.0,"19,19,19,1,1,12,0,16,21,10",ThirdYear
13.0,"9,9,4,4,5,4,4,4,4,4",ThirdYear
13.0,"5,4,4,4,2,3,3,2,3,3",ThirdYear
13.0,"3,3,3,1,12,1,15,1,1,1",ThirdYear
13.0,"1,12,1,21,10,10,10,1,1,2",ThirdYear
13.0,"5,5,1,1,1,1,15,1,1,17",ThirdYear
13.0,"1,15,1,19,11,11,0,11,13,2",ThirdYear
13.0,"3,0,9,15,10,7,15,9,16,16",ThirdYear
13.0,"12,12,11,12,12,12,4,9,12,6",ThirdYear
13.0,"5,5,8,5,6,6,5,13,4,13",ThirdYear
13.0,"9,13,14,14,13,9,17,17,21,21",ThirdYear
13.0,"9,17,17,17,17,17,16,17,17,17",ThirdYear
13.0,"9,15,4,4,3,8,3,3,2,2",ThirdYear
13.0,"11,13,13,14,8,1,5,3,3,3",ThirdYear
13.0,"3,3,3,3,0,13,13,6,3,3",ThirdYear
13.0,"3,3,3,6,3,3,3,0,12,14",ThirdYear
13.0,"2,2,2,2,2,18,19,19,19,19",ThirdYear
13.0,"1,1,1,2,13,13,18,2,3,3",ThirdYear
13.0,"3,2,5,2,14,3,3,13,5,7",ThirdYear
13.0,"4,2,4,2,19,19,15,15,0,18",ThirdYear
13.0,"18,13,13,13,11,11,13,13,5,5",ThirdYear
13.0,"5,5,12,13,13,13,13,13,13,0",ThirdYear
13.0,"7,7,1,1,2,11,11,11,11,11",ThirdYear
